ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO,
31,SBF,2,K5,MIDDEN SPARROW,,Quartz,0%,,RetouchedTool,Fragment,,MinimallyRetouched,MarginalEdgeShaping,Dorsal,5,45678,1.92,1,1.29,2.01,0.88,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,RECTANGULAR,,,,,Main,,,,,,,,,,,15.89,,8.64,,3.63,0.59,,,
32,SBF,3b,K5,STARLING HEARTH,,Quartzite,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Irregular,Cubic,10-40%,6,4,2,5,2,18.95,31.36,31.36,25.88,22.03,20.07,16.3,,,
33,SBF,3b,K4,KESTREL 3,,Silcrete,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bipolar,Bladelet,Cubic,0%,6,4,3,2,5,21.81,25.64,25.64,10.96,10.16,6.67,2.65,,,
34,SBF,3b,K4,BELOW DINOSAUR,,Quartz,1-10%,Outcrop,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,10.68,1.96,,,,,,,,,,,,18.71,,13.96,,2.64,0.44,,,
35,SBF,3b,K4,BELOW DINOSAUR,,Quartzite,10-40%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,11.57,5.47,Initial,,,,,,,,,,,4.51,4.51,22.51,22.51,5.89,0.87,,,
36,SBF,3b,K4,BELOW DINOSAUR,,Quartz,0%,,Core,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform,Irregular,Spherical,0%,7,5,7,2,3,21.45,32.95,32.95,26.89,26.89,22.2,22.76,,,
37,SBF,3b,K4,DRAGON,,Quartz,1-10%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,9.54,3.26,Main,,,,,,,,,,,14.98,14.98,11.25,11.25,3.69,0.63,,,
38,SBF,3b,K4,DRAGON,,Quartz,0%,,RetouchedTool,Complete,,MinimallyRetouched,MarginalEdgeShaping,Dorsal,2,12,3.36,1,6.99,5.13,3.22,,,,,,,,,,,Yes,Hertzian,Feather,Flake,,,,,,,,,,,,RECTANGULAR,FacetWithBulb,Yes,,,Main,,,,,,,,,,,11.22,11.22,17.87,17.87,6.95,1.03,,,
39,SBF,3b,K4,DRAGON,,Quartz,10-40%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,TRIANGULAR,NotPrepared,Yes,20.01,4.66,Initial,,,,,,,,,,,20.64,20.64,20.91,14.98,9.55,3.63,,,
40,SBF,3b,K4,DRAGON,,Quartz,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,No,,Feather,,,,,,,,,,,,,TRIANGULAR,,,,,,,,,,,,,,,,9.81,,10.28,,2.36,0.27,,,
41,SBF,3b,K4,DRAGON,,Quartz,1-10%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,NotPrepared,Yes,11.35,4.43,CoreMaintenance,,,,,,,,,,,11.05,8.52,11.23,11.23,3.75,0.53,,,
42,SBF,3b,K4,DRAGON,,Quartz,1-10%,Cobble,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,No,8.59,4.25,Main,,,,,,,,,,,15.67,15.67,9.1,6.65,3.9,0.49,,,
43,SBF,3b,K4,DRAGON,,Quartz,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,No,,Step,,,,,,,,,,,,,RHOMBUS,,,,,,,,,,,,,,,,11.12,,13.35,,3.9,0.45,43,,
44,SBF,3b,K4,DRAGON,,Quartz,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Bending,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.92,1.55,Main,,,,,,,,,,,13.18,13.18,7.7,7.7,2.23,0.23,,,
45,SBF,3b,K4,DRAGON,,Quartz,0%,,RetouchedTool,Complete,,BackedPiece,Backing,Dorsal,,1234,,,,,,,,,,,,5.99,5.8,2.9,0,,,,Flake,,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,11.64,11.64,17.94,17.94,6.89,1.05,,,
46,SBF,3b,K4,DRAGON,,Quartzite,1-10%,Cobble,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Indeterminate,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,21.33,9.6,,,,,,,,,,,,26.64,,27.94,,9.6,9.19,,,
47,SBF,3b,K4,DRAGON,,Quartzite,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Wedging,Indeterminate,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,10,1.97,,,,,,,,,,,,11.03,,15.46,,2.17,0.48,,,
